# t x y z qx qy qz qw vx vy vz
0.286667 -0.088065 -1.402145 0.645758 -0.060039 0.116500 0.129970 0.982818 0.405210 -5.238517 3.767354
0.290000 -0.086687 -1.419620 0.658375 -0.060750 0.117875 0.131496 0.982407 0.421492 -5.246668 3.802500
0.293333 -0.085255 -1.437123 0.671108 -0.061459 0.119248 0.133019 0.981992 0.437768 -5.254824 3.837638
0.296667 -0.083768 -1.454652 0.683959 -0.062167 0.120619 0.134540 0.981573 0.454035 -5.262982 3.872766
0.300000 -0.082228 -1.472209 0.696927 -0.062873 0.121986 0.136058 0.981150 0.470296 -5.271144 3.907885
0.303333 -0.080633 -1.489793 0.710011 -0.063577 0.123351 0.137572 0.980722 0.486548 -5.279309 3.942996
0.306667 -0.078984 -1.507405 0.723213 -0.064281 0.124713 0.139084 0.980291 0.502793 -5.287478 3.978099
0.310000 -0.077281 -1.525043 0.736532 -0.064982 0.126072 0.140592 0.979856 0.519030 -5.295651 4.013195
0.313333 -0.075524 -1.542709 0.749968 -0.065682 0.127428 0.142097 0.979416 0.535259 -5.303828 4.048284
0.316667 -0.073713 -1.560402 0.763521 -0.066380 0.128781 0.143599 0.978973 0.551479 -5.312010 4.083366
0.320000 -0.071847 -1.578122 0.777190 -0.067076 0.130130 0.145097 0.978526 0.567691 -5.320196 4.118442
0.323333 -0.069928 -1.595870 0.790977 -0.067770 0.131476 0.146591 0.978076 0.583895 -5.328387 4.153513
0.326667 -0.067955 -1.613645 0.804880 -0.068463 0.132819 0.148082 0.977621 0.600090 -5.336584 4.188580
0.330000 -0.065927 -1.631447 0.818901 -0.069153 0.134158 0.149568 0.977164 0.616276 -5.344785 4.223642
0.333333 -0.063846 -1.649277 0.833038 -0.069842 0.135494 0.151051 0.976702 0.632452 -5.352992 4.258702
0.336667 -0.061711 -1.667134 0.847292 -0.070528 0.136825 0.152530 0.976237 0.648620 -5.361205 4.293758
0.340000 -0.059522 -1.685018 0.861663 -0.071212 0.138153 0.154005 0.975769 0.664777 -5.369423 4.328814
0.343333 -0.057279 -1.702930 0.876151 -0.071895 0.139477 0.155475 0.975297 0.680925 -5.377648 4.363868
0.346667 -0.054983 -1.720869 0.890755 -0.072574 0.140797 0.156941 0.974822 0.697064 -5.385879 4.398923
0.350000 -0.052632 -1.738836 0.905477 -0.073252 0.142113 0.158403 0.974344 0.713192 -5.394117 4.433979
0.353333 -0.050228 -1.756830 0.920315 -0.073927 0.143425 0.159860 0.973863 0.729309 -5.402361 4.469037
0.356667 -0.047770 -1.774852 0.935271 -0.074600 0.144732 0.161312 0.973379 0.745416 -5.410613 4.504099
0.360000 -0.045259 -1.792901 0.950343 -0.075270 0.146035 0.162760 0.972891 0.761512 -5.418872 4.539166
0.363333 -0.042693 -1.810977 0.965532 -0.075938 0.147333 0.164203 0.972401 0.777597 -5.427139 4.574240
0.366667 -0.040075 -1.829082 0.980838 -0.076604 0.148627 0.165641 0.971908 0.793671 -5.435413 4.609322
0.370000 -0.037402 -1.847214 0.996260 -0.077267 0.149916 0.167073 0.971412 0.809733 -5.443697 4.644413
0.373333 -0.034676 -1.865373 1.011800 -0.077927 0.151201 0.168501 0.970914 0.825782 -5.451989 4.679516
0.376667 -0.031897 -1.883560 1.027457 -0.078584 0.152480 0.169923 0.970412 0.841820 -5.460290 4.714631
0.380000 -0.029064 -1.901775 1.043231 -0.079239 0.153755 0.171340 0.969909 0.857844 -5.468601 4.749762
0.383333 -0.026178 -1.920018 1.059122 -0.079891 0.155024 0.172752 0.969403 0.873856 -5.476922 4.784910
0.386667 -0.023239 -1.938288 1.075131 -0.080540 0.156289 0.174158 0.968894 0.889855 -5.485253 4.820075
0.390000 -0.020246 -1.956586 1.091256 -0.081186 0.157548 0.175558 0.968384 0.905839 -5.493596 4.855261
0.393333 -0.017200 -1.974912 1.107499 -0.081829 0.158802 0.176953 0.967871 0.921810 -5.501950 4.890468
0.396667 -0.014100 -1.993266 1.123859 -0.082469 0.160050 0.178341 0.967356 0.937767 -5.510316 4.925698
0.400000 -0.010948 -2.011647 1.140337 -0.083106 0.161293 0.179724 0.966839 0.953710 -5.518694 4.960952
0.403333 -0.007742 -2.030057 1.156932 -0.083740 0.162531 0.181101 0.966320 0.969638 -5.527085 4.996231
0.406667 -0.004484 -2.048495 1.173645 -0.084371 0.163762 0.182472 0.965799 0.985553 -5.535488 5.031535
0.410000 -0.001172 -2.066960 1.190476 -0.084999 0.164988 0.183836 0.965276 1.001453 -5.543904 5.066863
0.413333 0.002193 -2.085454 1.207425 -0.085623 0.166208 0.185194 0.964752 1.017339 -5.552333 5.102217
